_id,event,user,campusId,tenantCode,deleted,time,updatedAt,data,date,data_source
68685b6546a98744b8101536,campus_note,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,co,False,2025-07-04 22:53:25.809,2025-07-04 22:54:41.013,{'content': 'Nota editada'},2025-07-04,mongodb
68685b8746a98744b8101537,campus_note,e398f768-21f1-4928-ade9-7522837a6b48,311848003102,co,False,2025-07-04 22:53:59.910,2025-07-04 22:53:59.910,{'content': 'Segunda nota'},2025-07-04,mongodb
68685c2346a98744b8101538,campus_note,e398f768-21f1-4928-ade9-7522837a6b48,247318000251,co,False,2025-07-04 22:56:35.781,2025-07-04 22:56:35.781,{'content': 'Primera nota2'},2025-07-04,mongodb
68685f0146a98744b8101539,campus_note,e398f768-21f1-4928-ade9-7522837a6b48,247318000251,co,False,2025-07-04 23:08:49.878,2025-07-04 23:08:49.878,{'content': 'hola'},2025-07-04,mongodb
6869a5c446a98744b810153b,campus_note,10dfb0f5-d0ea-44db-9a77-6f35c8553616,325430001422,co,False,2025-07-05 22:23:00.223,2025-07-05 22:35:08.919,{'content': 'Hola como estás asfa'},2025-07-05,mongodb
