time,modified,id,user,favorite_rank_action,favorite_added,favorite_removed,campus_code,institution_code,table_source,data_source,event
2025-07-09 13:57:01.976436+00:00,2025-07-09 13:57:01.976438+00:00,47046,c39d983a-e9bb-4ead-8097-cf9b3077ecb4,DOWN,True,False,110011126452,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:56:59.886711+00:00,2025-07-09 13:56:59.886715+00:00,47045,c39d983a-e9bb-4ead-8097-cf9b3077ecb4,DOWN,True,False,11001_JP_382,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:56:49.561391+00:00,2025-07-09 13:56:49.561394+00:00,47044,c39d983a-e9bb-4ead-8097-cf9b3077ecb4,DOWN,True,False,11001_JP_787,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:56:17.153636+00:00,2025-07-09 13:56:17.153637+00:00,47043,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_169,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:49:41.141163+00:00,2025-07-09 13:49:41.141168+00:00,47042,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,113936,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:39:46.786371+00:00,2025-07-09 13:39:46.786373+00:00,47041,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_791,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:37:17.862479+00:00,2025-07-09 13:37:17.862484+00:00,47040,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001016933,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:30:39.463026+00:00,2025-07-09 13:30:39.463028+00:00,47039,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,121756,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:30:04.559822+00:00,2025-07-09 13:30:04.559824+00:00,47038,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,110011115487,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:27:33.883514+00:00,2025-07-09 13:27:33.883516+00:00,47037,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,111001047902,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:27:26.121975+00:00,2025-07-09 13:27:26.121976+00:00,47036,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_131,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:27:15.974954+00:00,2025-07-09 13:27:15.974957+00:00,47035,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100012568,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:27:13.035862+00:00,2025-07-09 13:27:13.035864+00:00,47034,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100131667,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:26:29.312928+00:00,2025-07-09 13:26:29.312931+00:00,47033,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,111001015091,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:24:54.532058+00:00,2025-07-09 13:24:54.532061+00:00,47032,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,1100100012452,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:24:30.122459+00:00,2025-07-09 13:24:30.122460+00:00,47031,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011120958,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:24:26.537352+00:00,2025-07-09 13:24:26.537356+00:00,47030,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011111585,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:24:21.773953+00:00,2025-07-09 13:24:21.773955+00:00,47029,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011120959,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:20:28.952222+00:00,2025-07-09 13:20:28.952223+00:00,47028,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_932,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:20:08.703795+00:00,2025-07-09 13:20:08.703797+00:00,47027,e9700a84-ec45-4398-ace2-de0359c87166,,False,True,11001_JP_932,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:19:17.398822+00:00,2025-07-09 13:19:17.398824+00:00,47026,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,11001_JP_932,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:18:59.511160+00:00,2025-07-09 13:18:59.511162+00:00,47025,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,122736,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:13:22.428757+00:00,2025-07-09 13:13:22.428761+00:00,47024,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011111588,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:13:20.113103+00:00,2025-07-09 13:13:20.113105+00:00,47023,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,111001030872,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:11:17.444534+00:00,2025-07-09 13:11:17.444536+00:00,47022,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,111850000065,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:10:10.726527+00:00,2025-07-09 13:10:10.726531+00:00,47021,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,1100100136597,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 13:03:23.869904+00:00,2025-07-09 13:03:23.869906+00:00,47020,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,111001800562,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 12:54:29.163136+00:00,2025-07-09 12:54:29.163138+00:00,47019,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001045267,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 12:41:25.675709+00:00,2025-07-09 12:41:25.675711+00:00,47018,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,111850000740,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 12:40:25.468517+00:00,2025-07-09 12:40:25.468519+00:00,47017,e9700a84-ec45-4398-ace2-de0359c87166,,False,True,1100100012452,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 12:39:52.259355+00:00,2025-07-09 12:39:52.259357+00:00,47016,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,1100100012452,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-09 12:34:25.131965+00:00,2025-07-09 12:34:25.131967+00:00,47015,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,234,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:43:29.531420+00:00,2025-07-08 20:43:29.531422+00:00,47014,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_26,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
