source,row_count,columns,date_range
mixpanel,53214,"['event', 'time', 'distinct_id', '$browser', '$browser_version', '$city', '$current_url', '$device_id', '$initial_referrer', '$initial_referring_domain', '$insert_id', '$lib_version', '$mp_api_endpoint', '$mp_api_timestamp_ms', '$os', '$referrer', '$referring_domain', '$region', '$screen_height', '$screen_width', '$search_engine', 'campus_code', 'env', 'guest', 'institution_code', 'legalGuardianUuid', 'mp_country_code', 'mp_lib', 'mp_processing_time_ms', 'mp_sent_by_lib_version', 'name', 'school_id', 'student', 'user', '$device', 'grades', 'pluginCode', '$anon_id', '$identified_id', '$user_id', 'audiovisual_label_id', '$failure_description', '$failure_reason', 'fbclid', '$distinct_id_before_identity', '$is_reshuffled', 'date', 'data_source']",2025-07-04 to 2025-07-09
postgresql,2259,"['created', 'modified', 'id', 'year', 'event', 'user', 'is_guest', 'campus_code', 'institution_code', 'data_source']",2025-07-04 00:00:01.084666+00:00 to 2025-07-09 19:29:35.151501+00:00
